Title,Abstract,Date,Industries,Link,Processed ,Source,Technology Category
Video Friday: Humans and Robots Team Up in Battlefield Triage,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy today’s videos! One of my favorite parts of robotics is watching research collide with non-roboticists in the real (or real-ish) world.[ DARPA ]Spot will put out fires for you. Eventually. If it feels like it.[ Mechatronic and Robotic Systems Laboratory ]All those robots rising out of their crates is not sinister at all.[ LimX ]The Lynx M20 quadruped robot recently completed an extreme cold-weather field test in Yakeshi, Hulunbuir, operating reliably in temperatures as low as –30°C.[ DEEP Robotics ]This is a teaser video for KIMLAB’s new teleoperation robot. For now, we invite you to enjoy the calm atmosphere, with students walking, gathering, and chatting across the UIUC Main Quad—along with its scenery and ambient sounds, without any technical details. More details will be shared soon. Enjoy the moment.The most incredible part of this video is that they have publicly available power in the middle of their quad.[ KIMLAB ]For the eleventy-billionth time: Just because you can do a task with a humanoid robot doesn’t mean you should do a task with a humanoid robot.[ UBTECH ]I am less interested in this autonomous urban delivery robot and more interested in whatever that docking station is at the beginning that loads the box into it.[ KAIST ]Okay, so figuring out where Spot’s face is just got a lot more complicated.[ Boston Dynamics ]An undergraduate team at HKU’s Tam Wing Fan Innovation Wing developed CLIO, an embodied tour-guide robot, just in months. Built on LimX Dynamics TRON 1, it uses LLMs for tour planning, computer vision for visitor recognition, and a laser pointer/expressive display for engaging tours.[ CLIO ]The future of work is doing work so that robots can then do the same wor","January 24, 2026 2:00 AM (GMT+9)","Darpa, Human-robot-interaction, Humanoid-robots, Quadruped-robots, Robotics, Video-friday",https://spectrum.ieee.org/darpa-triage-challenge-robot,Yes,IEEE-Robotics,Robotics
Video Friday: Multitasking Robots Smoothly Do the Things Together,"

Video Friday is your weekly selection of awesome robotics videos, collected by your friends at IEEE Spectrum robotics. We also post a weekly calendar of upcoming robotics events for the next few months. Please send us your events for inclusion.ICRA 2026: 1–5 June 2026, VIENNAEnjoy this week’s videos! Westwood Robotics is proud to announce a major update: THEMIS Gen2.5, the world’s first commercial full-size humanoid robot capable of manipulation on the move!Now that you mention it, the bit at the end where the robot picks up a can while walking? I haven’t seen a lot of that.[ Westwood Robotics ] Last year, Helix showed that a single neural network could control a humanoid’s upper body from pixels. Today, Helix 02 extends that control to the entire robot—walking, manipulating, and balancing as one continuous system.Why, yes, I am a normal human, and this is very similar to the default state of my kitchen.[ Figure ]Harry Goldstein, our editor in chief, went to meet Sprout from Fauna Robotics. He was skeptical at first, but Sprout won him over with its robotic charm.[ Fauna Robotics ]Kimberly Elenberg is showing how the data collected by robotic responders can save lives in mass casualty events.[ Carnegie Mellon University ]The educational robotics market is tough, but you’ve got to hand it to Sphero—going strong since 2011, which is pretty incredible.[ Sphero ]If you want to fly in crazy conditions, you have to flight test in those conditions. Here’s how and why we do it![ Zipline ]I want to be impressed more by the idea of 3D-printing skin and skeleton at the same time, but come on, animals have been doing that for literally hundreds of years without even trying.[ JSK Lab, University of Tokyo ]If there is a market for small bipedal robots that can both ski and be dinosaurs, LimX has it covered.[ LimX ]How do you remotely control robots that change shape? We introduce a method for user-guided control of modular robots using reconfigurable joint-space joysticks (JoJo","January 31, 2026 3:30 AM (GMT+9)","Bipedal-robots, Commercial-robots, Drones, Educational-robots, Humanoid-robots, Video-friday",https://spectrum.ieee.org/multitasking-robot,Yes,IEEE-Robotics,Robotics
"Tesla is reportedly behind on its pledge to build 5,000 Optimus bots this year","Tesla is behind on its goal to produce at least 5,000 Optimus humanoid robots by the end of 2025.","July 25, 2025 11:14 PM (GMT+9)",Robotics,https://techcrunch.com/2025/07/25/tesla-is-reportedly-behind-on-its-pledge-to-build-5000-optimus-bots-this-year/,Yes,arXiv,Robotics
Why Runway is eyeing the robotics industry for future revenue growth,Runway is building up a robotics-focused team and fine-tuning its existing models for robotics and self-driving car customers.,"September 2, 2025 12:00 AM (GMT+9)",Robotics,https://techcrunch.com/2025/09/01/why-runway-is-eyeing-the-robotics-industry-for-future-revenue-growth/,Yes,arXiv,Robotics
The world is just not quite ready for humanoids yet,"Despite the amount of money being injected into the industry, humanoids won't be able to learn dexterity -- or the fine motor movements with hands -- rendering them essentially useless.","October 10, 2025 10:15 PM (GMT+9)",Robotics,https://techcrunch.com/2025/10/10/the-world-is-just-not-quite-ready-for-humanoids-yet/,Yes,arXiv,Robotics
Hugging Face opens up orders for its Reachy Mini desktop robots,Hugging Face is releasing two versions of its desktop robot meant for designing and coding AI applications.,"July 9, 2025 4:00 PM (GMT+9)","AI, Enterprise, Hugging Face, Robotics, artificial intelligence, humanoid robot",https://techcrunch.com/2025/07/09/hugging-face-opens-up-orders-for-its-reachy-mini-desktop-robots/,Yes,IEEE-Robotics,Robotics
Diligent Robotics hires two notable Cruise alumni to its leadership team,Diligent Robotics hired Cruise's former chief operating officer and former head of AI and robotics into c-suite positions.,"July 10, 2025 10:00 PM (GMT+9)","AI, Cruise, Diligent Robotics, HealthTech, Healthcare, Robotics, TC, humanoid robots, humanoids",https://techcrunch.com/2025/07/10/diligent-robotics-adds-two-notable-cruise-alumni-to-its-leadership-team/,Yes,IEEE-Robotics,Robotics
How TRIC Robotics is reducing pesticide use on strawberries using UV light,TRIC Robotics just raised a $5.5 million seed round for its tractor-sized robots that help eliminate bacteria and pests on strawberry plants.,"July 23, 2025 11:00 PM (GMT+9)","AgTech, Fundraising, Robotics, Startups, TC, agriculture tech, agtech startups, venture capital, version one ventures",https://techcrunch.com/2025/07/23/how-tric-robotics-is-reducing-pesticide-use-on-strawberries-using-uv-light/,Yes,IEEE-Robotics,Robotics
"Tesla is reportedly behind on its pledge to build 5,000 Optimus bots this year","Tesla is behind on its goal to produce at least 5,000 Optimus humanoid robots by the end of 2025.","July 25, 2025 11:14 PM (GMT+9)","AI, In Brief, Optimus, Robotics, Tesla, Transportation, humanoid robot, tesla optimus",https://techcrunch.com/2025/07/25/tesla-is-reportedly-behind-on-its-pledge-to-build-5000-optimus-bots-this-year/,Yes,IEEE-Robotics,Robotics
Why Runway is eyeing the robotics industry for future revenue growth,Runway is building up a robotics-focused team and fine-tuning its existing models for robotics and self-driving car customers.,"September 2, 2025 12:00 AM (GMT+9)","AI, Media & Entertainment, Robotics, Transportation, artificial intelligence, runway, self-driving cars, world models",https://techcrunch.com/2025/09/01/why-runway-is-eyeing-the-robotics-industry-for-future-revenue-growth/,Yes,IEEE-Robotics,Robotics
"Live demo fails, AI safety wins, and the golden age of robotics","This week on Equity, Anthony Ha, Kirsten Korosec, and Max Zeff unpack the biggest moves in AI, robotics, and regulation. Listen to the full episode to hear about: Equity will be back next week. Subscribe wherever you get your podcasts! Equity is TechCrunch’s flagship podcast, produced by Theresa Loconsolo, and posts every Wednesday and Friday. […]","September 20, 2025 12:48 AM (GMT+9)","AI, AI regulation, Equity podcast, Robotics, Startups, figure, meta connect, sb 53",https://techcrunch.com/podcast/live-demo-fails-ai-safety-wins-and-the-golden-age-of-robotics/,Yes,IEEE-Robotics,Robotics
Former OpenAI and DeepMind researchers raise whopping $300M seed to automate science,"Periodic Labs has raised from a tech industry who's who, including Andreessen Horowitz, Nvidia, Elad Gil, Jeff Dean, Eric Schmidt, and Jeff Bezos.","October 1, 2025 3:56 AM (GMT+9)","AI, Periodic Labs, Robotics, Startups, TC, Venture, science",https://techcrunch.com/2025/09/30/former-openai-and-deepmind-researchers-raise-whopping-300m-seed-to-automate-science/,Yes,IEEE-Robotics,Robotics
SoftBank bulks up its robotics portfolio with ABB Group’s robotics unit,SoftBank says this acquisition will help it dive deeper into robotics as it considers physical AI to be the next frontier.,"October 8, 2025 11:10 PM (GMT+9)","AI, Mergers and Acquisitions, Robotics, Softbank, TC, The ABB Group, artificial intelligence, physical ai",https://techcrunch.com/2025/10/08/softbank-bulks-up-its-robotics-portfolio-with-abb-groups-robotics-unit/,Yes,IEEE-Robotics,Robotics
The world is just not quite ready for humanoids yet,"Despite the amount of money being injected into the industry, humanoids won't be able to learn dexterity -- or the fine motor movements with hands -- rendering them essentially useless.","October 10, 2025 10:15 PM (GMT+9)","AI, Robotics, Startups, TC, figure, humanoid robots, iRobot, nvidia, rodney brooks, venture capital",https://techcrunch.com/2025/10/10/the-world-is-just-not-quite-ready-for-humanoids-yet/,Yes,IEEE-Robotics,Robotics
Coco Robotics taps UCLA professor to lead new physical AI research lab,Coco Robotics is working toward automating its fleet of delivery robots using its millions of miles of collected data.,"October 15, 2025 12:51 AM (GMT+9)","AI, AI research lab, Automation, Exclusive, OpenAI, Robotics, Startups, TC, artificial intelligence, physical ai",https://techcrunch.com/2025/10/14/coco-robotics-taps-ucla-professor-to-lead-new-physical-ai-research-lab/,Yes,IEEE-Robotics,Robotics
AI researchers ’embodied’ an LLM into a robot – and it started channeling Robin Williams,AI researchers at Andon Labs embedded various LLMs in a vacuum robot to test how ready they were to be embodied. And hilarity ensued.,"November 2, 2025 12:00 AM (GMT+9)","AI, AI research, Andon Labs, Hardware, LLMs, Robotics, TC, gemini ai",https://techcrunch.com/2025/11/01/ai-researchers-embodied-an-llm-into-a-robot-and-it-started-channeling-robin-williams/,Yes,techcrunch,Robotics
Why a researcher is building robots that look and act like bats,These palm-sized robots use ultrasound signals to navigate harsh conditions in search and rescue missions.,"November 13, 2025 2:12 AM (GMT+9)","Drones, Hardware, Robotics",https://techcrunch.com/2025/11/12/why-a-researcher-is-building-robots-that-look-and-act-like-bats/,Yes,techcrunch,Robotics
"This Khosla-backed startup can track drones, trucks, and robotaxis, inch by inch","Point One Navigation, now valued at $230 million, is building out well beyond automotive.","November 21, 2025 3:00 AM (GMT+9)","Exclusive, Point One Navigation, Robotics, Startups, Transportation, autonomous vehicles",https://techcrunch.com/2025/11/20/this-khosla-based-startup-can-track-drones-trucks-and-robotaxis-inch-by-inch/,Yes,techcrunch,Robotics
1X struck a deal to send its ‘home’ humanoids to factories and warehouses,"Despite launching as a humanoid robot designed to help consumers around the house, 1X's Neo robots are heading to industrial use cases.","December 12, 2025 7:03 AM (GMT+9)","1x, AI, OpenAI Startup Fund, Robotics, Startups, TC, eqt, humanoids, neo",https://techcrunch.com/2025/12/11/1x-struck-a-deal-to-send-its-home-humanoids-to-factories-and-warehouses/,Yes,techcrunch,Robotics
